"name","mrp","discountpercent"
"Dukes Waffy Orange Wafers","45.00","51.00"
"Dukes Waffy Chocolate Wafers","45.00","51.00"
"Dukes Waffy Strawberry Wafers","45.00","51.00"
"RRO Mozzarella Block Cheese","295.00","50.00"
"Ceres Foods Laal Maas Instant Liquid Masala","220.00","50.00"
"Chef's Basket Durum Wheat Elbow Pasta","160.00","50.00"
"RRO Mozzarella Pizza Cheese","275.00","50.00"
"Ceres Foods Fish Mustard Instant Liquid Masala","220.00","50.00"
"Dukes Waffy Strawberry Roll","150.00","50.00"
"Ceres Foods Nalli Nihari Instant Liquid Masala","220.00","50.00"
